08:59:36.147 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
09:08:17.515 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
09:08:17.520 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
09:09:04.233 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
09:09:04.238 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
09:11:34.517 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
09:11:34.521 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
09:13:09.295 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
09:13:09.300 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
09:14:25.748 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
09:14:25.752 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
13:56:27.295 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
13:56:27.300 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
13:57:52.140 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
13:57:52.144 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:03:55.447 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:03:55.451 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:49:22.216 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:49:22.222 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:55:29.523 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:55:29.527 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:59:40.718 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:59:40.722 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:02:39.940 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:02:39.945 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:16:21.385 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:16:21.391 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:18:23.928 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:18:23.932 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:18:33.637 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:18:33.644 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:19:11.251 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:19:11.256 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:19:50.399 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:19:50.404 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:20:03.352 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:20:03.356 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:20:43.507 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:20:43.512 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:33:20.470 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:33:20.475 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:41:17.135 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:41:17.140 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:41:26.048 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:41:26.053 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:42:03.508 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:42:03.513 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:42:19.533 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:42:19.538 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
16:40:33.453 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:40:33.458 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
16:55:18.080 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:55:18.085 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
16:58:02.712 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:58:02.717 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
09:50:58.221 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
09:50:58.226 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
09:52:20.876 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
09:52:20.881 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:04:14.929 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:04:14.934 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:07:53.385 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:07:53.390 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:09:57.329 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:09:57.337 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:20:21.553 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:20:21.558 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:24:51.322 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:24:51.327 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:26:32.094 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:26:32.099 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:27:00.345 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:27:00.350 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:37:20.341 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:37:20.346 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:48:31.180 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:48:31.185 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:50:52.429 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:50:52.434 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:54:15.635 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
